name,lat,long
Hoshiarpur,30.83573,76.72421
Housing Board Chowk,30.70811,76.83675
Housing Board Chowk Towards ISBT 43,30.7076,76.83548
Housing Board Chowk Towards Panchkula,30.70901,76.83895
Housing Board Towards 9/16,30.70717,76.83773
Indira Colony Down,30.72022,76.83785
Indira Colony Up,30.7202,76.84075
Industrial Area Phase-1,30.71393,76.8087
Industrial Area Phase -1/ Sector 28,30.71124,76.80204
Industrial Area Phase 2,30.69591,76.78643
Industrial Area Phase 2 in front Tata Motors,30.69905,76.78505
Industrial Area Phase 2 near passport office,30.69934,76.78482
Industrial Area Phase 2 near PRTC,30.7032,76.78892
Industrial Area Phase 2/Phase 1,30.7017,76.79192
IRB Camp,30.79185,76.76772
ISBT 17,30.73637,76.77837
I.S.B.T. 17 BackSide,30.74184,76.78818
ISBT 17 (Sector 22/17),30.73506,76.77998
ISBT 43,30.71709,76.74341
ISBT Mohali,30.73183,76.70561
"I.S.DEV SAMAJ Sr Sec SCHOOL, SECTOR-21C, Chandigarh",30.72436,76.77328
IT Park (Down),30.73026,76.84546
IT Park Up,30.72975,76.84327
IVY Hospital (Down),30.70736,76.70798
IVY Hospital (Up),30.70698,76.70698
Jagatpura/ 48 Motor Market,30.68547,76.76079
Jal Vayu Tower,30.75362,76.6741
"JANJ GHAR, BURAIL",30.70747,76.7638
"JANJ GHAR, COMMUNITY CENTRE, SECTOR-47B",30.69628,76.76997
"JAWAHAR NAVODAYA VIDYALAYA, SECTOR 25",30.7572,76.75755
Jayanti Majri,30.82304,76.7761
Jhande Majra,30.85283,76.65244
Jhungiyan,30.62552,76.77884
Jhurheri,30.66798,76.77983
Jujhar Nagar,30.75038,76.7047
Kaali Baari Mandir towards 3BRD,30.69551,76.77887
Kaali Baari Mandir towards 47,30.69511,76.77899
Kaimbwala 1,30.75641,76.82911
Kaimbwala 2,30.75668,76.82146
Kakrali,30.63736,76.87694
Kalagram Down,30.7097,76.82869
Kalagram Up,30.70827,76.83086
Kansal,30.76489,76.80487
Kendriya Sadan,30.7429,76.77998
"KENDRIYA VIDYALAYA, SECTOR-29B",30.71108,76.79757
KFC,30.74106,76.67507
Kharar,30.75163,76.63874
Khera,30.85121,76.66278
Khizrabad,30.87517,76.65462
Khuda Alisher,30.77312,76.80892
Khuda Lahora Bridge,30.77195,76.76956
Khuda Lahora (Down),30.77572,76.7698
Khuda Lahora (Up),30.77592,76.7699
Kishan bhavan,30.73294,76.76302
Kishangarh Down,30.73093,76.83029
Kishangarh Up,30.73101,76.83227
