0,1,2
573,Sector 21/22 Aroma,S540
574,Sector 21/34,S252
575,Sector 21A/22,S713
576,Sector 21 Market.,S66
577,Sector 21 Market Panchkula,S67
578,Sector 22,S478
579,Sector 22/17,S552
580,Sector 22/23,S74
581,Sector 22/23 Panchkula,S655
582,Sector 22/35,S255
583,Sector 22C(UP/DOWN),S941
584,Sector 23/16,S333
585,Sector 23/22,S61
586,Sector 23/24 Chandigarh,S669
587,Sector 23/24 Panchkula,S661
588,Sector 23/36,S299
589,Sector 23 Market.,S369
590,Sector 24/15,S297
591,Sector 24/23 Chandigarh,S670
592,Sector 24/25,S190
593,Sector 24/25 Panchkula,S656
594,Sector 24/37,S298
595,Sector 24 Market.,S370
596,Sector 25/14,S235
597,Sector 25/24,S191
598,Sector 25/38 Light Point.,S288
599,Sector 25 near Dental College,S970
600,Sector 26/27,S80
601,Sector 26/27 Outer Panchkula,S659
602,Sector 26/28 Grain Market,S250
603,Sector 26 Panchkula.,S660
604,Sector 26 Polytechnic. College Panchkula.,S657
605,Sector 27/19,S242
606,Sector 27/19C,S948
607,Sector 27/26,S79
608,Sector 27/28,S185
609,Sector 27/28 Panchkula,S658
610,Sector 27/30,S327
611,Sector 27A/19,S967
612,Sector 27 Market (Down),S126
613,Sector 27 Market (Up).,S127
614,Sector 28/26 Grain Market,S128
615,Sector 28/27,S186
616,Sector 28/29,S328
617,Sector 28 Market (Down),S134
618,Sector 28 Market (Up).,S133
619,Sector 28 Petrol Pump. (Down),S132
620,Sector 28 Petrol Pump (Up),S130
621,Sector 29/28,S329
622,Sector 29/30,S184
623,Sector 29/31 (Tribune).,S247
624,Sector 29/31 (Tribune) Down,S545
625,Sector 29/ Industrial Area Phase-1,S136
626,Sector 29 Market (Down),S129
627,Sector 29 Market (Up).,S131
628,Sector 30/27,S330
629,Sector 30/29,S183
630,Sector 30/32 Hospital,S248
631,Sector 30A/20B,S292
632,Sector 30D/20C,S943
633,Sector 30D/32,S930
634,Sector 30 Market.,S135
635,Sector 31/29 (Tribune),S246
636,Sector 31/32 Market,S448
637,Sector 31 Market,S16
638,Sector 32/30D,S931
639,Sector 32/30 Hospital,S249
640,Sector 32/31,S181
641,Sector 32/31 S.D. College,S696
642,Sector 32/33,S291
643,Sector 32A/33,S993
644,Sector 32 Market,S365
645,Sector 33/20,S265
646,Sector 33/32,S289
647,Sector 33/34,S392
648,Sector 33/34 Labour chowk,S962
649,Sector 33D/32A,S959
650,Sector 33 Market,S363
651,Sector 34/21,S253
652,Sector 34/33,S393
653,Sector 34/35,S938
654,Sector 34A/35B JW Marriot,S178
655,Sector 34D/35C,S939
656,Sector 34 Market,S362
657,Sector 35/22,S254
658,Sector 35/34,S937
659,Sector 35/34 Liqht Point,S573
660,Sector 35/36 Flower Market,S63
661,Sector 35/36 Kissan bhawan,S678
662,Sector 35B/34A JW Marriot,S179
663,Sector 35C/34D,S936
664,Sector 35 Market (Down),S479
